date,open,high,low,close
"20121012  09:30:00",2.00,2.20,1.30,1.45
"20121012  09:31:00",1.30,1.80,1.30,1.75
"20121012  09:32:00",1.70,2.35,1.60,2.05
"20121012  09:33:00",2.00,2.15,1.80,2.00
"20121012  09:34:00",2.00,2.00,1.75,1.90
"20121012  09:35:00",1.90,1.90,1.55,1.80
"20121012  09:36:00",1.55,1.60,1.05,1.05
"20121012  09:37:00",1.20,1.25,0.80,1.05
"20121012  09:38:00",1.30,1.50,1.15,1.20
"20121012  09:39:00",1.20,1.25,1.10,1.20
"20121012  09:40:00",1.25,1.25,1.20,1.25
"20121012  09:41:00",1.35,2.35,1.30,2.35
"20121012  09:42:00",2.25,2.70,2.25,2.25
"20121012  09:43:00",2.50,2.50,2.40,2.45
"20121012  09:44:00",2.30,2.45,2.30,2.35
"20121012  09:45:00",2.40,2.60,2.20,2.20
"20121012  09:46:00",2.10,2.30,1.65,1.65
"20121012  09:47:00",1.65,1.75,1.65,1.75
"20121012  09:48:00",1.65,1.65,1.55,1.60
"20121012  09:49:00",1.50,1.85,1.30,1.80
"20121012  09:50:00",1.90,1.90,1.70,1.75
"20121012  09:51:00",1.75,1.75,1.60,1.75
"20121012  09:52:00",1.55,1.70,1.55,1.60
"20121012  09:53:00",1.65,1.65,1.60,1.60
"20121012  09:54:00",1.60,1.65,1.30,1.35
"20121012  09:55:00",1.30,1.60,1.30,1.45
"20121012  09:56:00",1.40,1.50,1.30,1.45
"20121012  09:57:00",1.50,1.50,1.20,1.20
"20121012  09:58:00",1.30,1.30,1.05,1.10
"20121012  09:59:00",1.05,1.05,0.75,0.75
"20121012  10:00:00",0.80,0.85,0.75,0.75
"20121012  10:01:00",0.70,0.80,0.65,0.75
"20121012  10:02:00",0.65,0.75,0.65,0.65
"20121012  10:03:00",0.70,0.75,0.65,0.75
"20121012  10:04:00",0.75,0.75,0.70,0.75
"20121012  10:05:00",0.70,0.95,0.70,0.85
"20121012  10:06:00",0.80,0.85,0.80,0.85
"20121012  10:07:00",0.85,1.05,0.80,1.00
"20121012  10:08:00",1.15,1.15,1.00,1.00
"20121012  10:09:00",1.05,1.05,0.90,1.05
"20121012  10:10:00",1.05,1.05,1.05,1.05
"20121012  10:11:00",1.10,1.20,1.10,1.20
"20121012  10:12:00",1.05,1.05,1.00,1.00
"20121012  10:13:00",1.20,1.20,1.00,1.00
"20121012  10:14:00",1.20,1.20,1.10,1.10
"20121012  10:15:00",1.10,1.15,1.10,1.15
"20121012  10:16:00",1.00,1.15,1.00,1.15
"20121012  10:17:00",1.20,1.40,1.20,1.35
"20121012  10:18:00",1.35,1.40,1.00,1.40
"20121012  10:19:00",1.40,1.65,1.35,1.65
"20121012  10:20:00",1.55,1.60,1.30,1.40
"20121012  10:21:00",1.30,1.30,1.30,1.30
"20121012  10:22:00",1.30,1.30,1.30,1.30
"20121012  10:23:00",1.45,1.45,1.25,1.40
"20121012  10:24:00",1.45,1.55,1.40,1.45
"20121012  10:25:00",1.50,1.65,1.50,1.65
"20121012  10:26:00",1.45,1.50,1.45,1.50
"20121012  10:27:00",1.60,1.75,1.60,1.70
"20121012  10:28:00",1.75,1.90,1.70,1.85
"20121012  10:29:00",1.90,2.50,1.80,2.50
"20121012  10:30:00",2.30,2.65,2.20,2.65
"20121012  10:31:00",2.50,2.90,2.45,2.65
"20121012  10:32:00",2.50,2.50,2.00,2.10
"20121012  10:33:00",2.00,2.05,1.85,1.85
"20121012  10:34:00",1.90,1.90,1.70,1.75
"20121012  10:35:00",2.15,2.15,2.10,2.10
"20121012  10:36:00",2.05,2.05,2.00,2.00
"20121012  10:37:00",2.00,2.00,1.80,1.80
"20121012  10:38:00",1.75,1.80,1.75,1.75
"20121012  10:39:00",1.60,1.65,1.60,1.60
"20121012  10:40:00",1.55,1.55,1.50,1.50
"20121012  10:41:00",1.55,1.60,1.35,1.35
"20121012  10:42:00",1.45,1.45,1.40,1.40
"20121012  10:43:00",1.60,1.70,1.50,1.70
"20121012  10:44:00",1.65,1.65,1.60,1.60
"20121012  10:45:00",1.50,2.10,1.50,2.10
"20121012  10:46:00",2.05,2.05,1.75,1.75
"20121012  10:47:00",1.60,1.80,1.60,1.80
"20121012  10:48:00",1.65,1.65,1.65,1.65
"20121012  10:49:00",1.80,1.85,1.70,1.85
"20121012  10:50:00",1.90,1.90,1.85,1.85
"20121012  10:51:00",1.80,1.95,1.80,1.80
"20121012  10:52:00",1.80,1.85,1.70,1.75
"20121012  10:53:00",1.70,1.80,1.70,1.80
"20121012  10:54:00",1.70,1.75,1.65,1.65
"20121012  10:55:00",1.55,1.75,1.50,1.70
"20121012  10:56:00",1.65,1.65,1.50,1.50
"20121012  10:57:00",1.40,1.60,1.40,1.60
"20121012  10:58:00",1.40,1.45,1.40,1.45
"20121012  10:59:00",1.60,1.80,1.55,1.80
"20121012  11:00:00",1.80,1.85,1.75,1.75
"20121012  11:01:00",1.60,1.70,1.60,1.70
"20121012  11:02:00",1.70,2.00,1.70,1.80
"20121012  11:03:00",1.80,1.80,1.80,1.80
"20121012  11:04:00",1.90,1.90,1.85,1.85
"20121012  11:05:00",1.95,2.15,1.85,1.85
"20121012  11:06:00",2.25,2.25,1.80,1.80
"20121012  11:07:00",1.85,1.85,1.80,1.80
"20121012  11:08:00",1.80,1.80,1.80,1.80
"20121012  11:09:00",1.70,1.85,1.70,1.85
"20121012  11:10:00",2.00,2.00,2.00,2.00
"20121012  11:11:00",2.20,2.40,1.95,2.10
