date,open,high,low,close
"20121012  09:30:00",3.00,3.25,2.75,3.20
"20121012  09:31:00",3.10,3.10,2.04,2.04
"20121012  09:32:00",2.33,2.78,2.22,2.70
"20121012  09:33:00",2.75,2.75,2.21,2.35
"20121012  09:34:00",2.30,3.06,2.30,2.95
"20121012  09:35:00",3.03,3.50,3.03,3.25
"20121012  09:36:00",3.19,3.35,3.19,3.20
"20121012  09:37:00",3.25,3.40,2.69,2.69
"20121012  09:38:00",2.72,2.87,2.67,2.74
"20121012  09:39:00",2.77,2.77,1.80,1.91
"20121012  09:40:00",1.95,2.00,1.67,1.82
"20121012  09:41:00",1.82,1.90,1.61,1.69
"20121012  09:42:00",1.70,1.76,1.59,1.65
"20121012  09:43:00",1.62,1.80,1.54,1.77
"20121012  09:44:00",1.77,1.80,1.55,1.59
"20121012  09:45:00",1.55,1.74,1.49,1.60
"20121012  09:46:00",1.65,1.90,1.62,1.90
"20121012  09:47:00",1.95,2.15,1.88,2.13
"20121012  09:48:00",2.15,2.30,2.01,2.05
"20121012  09:49:00",2.16,2.16,1.96,2.11
"20121012  09:50:00",2.17,2.23,2.02,2.12
"20121012  09:51:00",2.15,2.17,1.99,2.09
"20121012  09:52:00",2.08,2.10,1.71,1.75
"20121012  09:53:00",1.83,1.93,1.75,1.87
"20121012  09:54:00",1.79,2.10,1.70,2.10
"20121012  09:55:00",2.10,2.30,1.95,2.14
"20121012  09:56:00",2.15,2.88,2.15,2.76
"20121012  09:57:00",2.80,2.80,2.52,2.69
"20121012  09:58:00",2.65,3.60,2.58,3.50
"20121012  09:59:00",3.41,3.80,3.30,3.80
"20121012  10:00:00",3.80,4.40,3.70,3.90
"20121012  10:01:00",3.90,4.33,3.80,3.80
"20121012  10:02:00",3.85,4.60,3.80,4.53
"20121012  10:03:00",4.60,5.20,4.50,4.77
"20121012  10:04:00",4.85,4.85,4.35,4.51
"20121012  10:05:00",4.60,4.70,4.20,4.25
"20121012  10:06:00",4.25,4.35,3.85,4.35
"20121012  10:07:00",4.05,4.11,3.75,4.11
"20121012  10:08:00",4.10,4.10,3.55,3.55
"20121012  10:09:00",3.60,4.10,3.60,3.80
"20121012  10:10:00",3.85,3.95,3.55,3.80
"20121012  10:11:00",3.50,3.55,3.10,3.20
"20121012  10:12:00",3.20,3.30,3.10,3.25
"20121012  10:13:00",3.35,3.60,3.25,3.60
"20121012  10:14:00",3.60,3.90,3.52,3.90
"20121012  10:15:00",3.90,4.40,3.85,4.20
"20121012  10:16:00",4.30,4.75,4.16,4.75
"20121012  10:17:00",4.75,4.80,4.20,4.40
"20121012  10:18:00",4.65,6.05,4.65,6.05
"20121012  10:19:00",6.00,6.10,5.10,5.45
"20121012  10:20:00",5.25,5.52,5.00,5.19
"20121012  10:21:00",4.90,5.35,4.70,5.28
"20121012  10:22:00",5.25,6.00,5.25,5.95
"20121012  10:23:00",6.00,6.00,5.40,5.55
"20121012  10:24:00",5.25,6.25,5.20,6.25
"20121012  10:25:00",6.09,6.09,5.35,5.55
"20121012  10:26:00",5.60,6.05,5.50,5.50
"20121012  10:27:00",5.45,5.45,4.95,4.95
"20121012  10:28:00",4.88,5.02,4.55,4.83
"20121012  10:29:00",4.50,4.94,4.40,4.64
"20121012  10:30:00",4.50,4.65,4.40,4.55
"20121012  10:31:00",4.60,5.05,4.39,4.62
"20121012  10:32:00",4.70,4.85,4.70,4.85
"20121012  10:33:00",4.80,5.00,4.70,4.91
"20121012  10:34:00",5.00,5.03,4.50,4.55
"20121012  10:35:00",4.70,4.87,4.70,4.87
"20121012  10:36:00",5.00,5.35,5.00,5.15
"20121012  10:37:00",5.25,5.50,5.05,5.50
"20121012  10:38:00",5.50,5.68,5.40,5.60
"20121012  10:39:00",5.70,5.77,5.50,5.77
"20121012  10:40:00",5.90,6.00,5.60,5.86
"20121012  10:41:00",5.75,5.90,5.50,5.90
"20121012  10:42:00",6.00,6.20,5.70,5.79
"20121012  10:43:00",5.80,5.87,5.30,5.35
"20121012  10:44:00",5.40,5.60,5.40,5.60
"20121012  10:45:00",5.50,5.58,5.00,5.00
"20121012  10:46:00",5.10,5.40,5.00,5.35
"20121012  10:47:00",5.60,5.85,5.55,5.60
"20121012  10:48:00",5.40,5.40,5.20,5.40
"20121012  10:49:00",5.40,5.70,5.40,5.70
"20121012  10:50:00",5.90,5.90,5.02,5.02
"20121012  10:51:00",5.25,5.60,5.20,5.30
"20121012  10:52:00",5.10,5.10,4.60,4.90
"20121012  10:53:00",4.88,5.03,4.88,5.03
"20121012  10:54:00",4.75,5.17,4.72,5.10
"20121012  10:55:00",5.32,5.75,5.32,5.50
"20121012  10:56:00",5.50,5.80,5.40,5.80
"20121012  10:57:00",5.80,6.20,5.79,6.10
"20121012  10:58:00",6.06,6.06,5.40,5.45
"20121012  10:59:00",5.20,5.55,5.10,5.10
"20121012  11:00:00",5.25,5.25,4.80,5.05
"20121012  11:01:00",5.15,5.18,4.80,4.80
"20121012  11:02:00",5.05,5.05,5.05,5.05
