date,open,high,low,close
"20121012  09:30:00",11.00,11.70,10.40,10.40
"20121012  09:31:00",11.05,13.30,11.05,12.55
"20121012  09:32:00",12.49,12.49,11.95,12.05
"20121012  09:33:00",11.85,12.60,11.80,12.40
"20121012  09:34:00",12.80,12.80,11.40,11.40
"20121012  09:35:00",11.08,11.08,10.15,10.73
"20121012  09:36:00",10.73,10.73,10.73,10.73
"20121012  09:37:00",10.55,11.35,10.55,11.35
"20121012  09:38:00",11.70,11.70,11.36,11.36
"20121012  09:39:00",12.09,13.86,12.07,13.66
"20121012  09:40:00",13.50,14.00,13.39,13.50
"20121012  09:41:00",13.95,14.65,13.95,14.35
"20121012  09:42:00",14.30,14.50,14.30,14.44
"20121012  09:43:00",14.40,14.61,14.10,14.10
"20121012  09:44:00",14.00,14.40,14.00,14.40
"20121012  09:45:00",14.50,14.50,14.19,14.25
"20121012  09:46:00",13.95,13.95,13.10,13.10
"20121012  09:47:00",13.08,13.10,12.50,12.50
"20121012  09:48:00",12.50,12.50,12.00,12.20
"20121012  09:49:00",12.45,12.45,12.25,12.29
"20121012  09:50:00",12.29,12.40,12.18,12.30
"20121012  09:51:00",12.55,12.55,12.15,12.50
"20121012  09:52:00",13.10,13.10,13.05,13.05
"20121012  09:53:00",13.15,13.15,12.74,12.74
"20121012  09:54:00",12.80,12.80,11.81,11.81
"20121012  09:55:00",11.60,12.15,11.60,12.15
"20121012  09:56:00",11.60,11.60,10.44,10.44
"20121012  09:57:00",10.88,10.88,10.80,10.80
"20121012  09:58:00",11.00,11.00,8.90,8.98
"20121012  09:59:00",9.00,9.00,8.60,8.60
"20121012  10:00:00",8.45,8.65,8.00,8.50
"20121012  10:01:00",8.51,8.51,8.10,8.45
"20121012  10:02:00",8.05,8.10,7.70,7.70
"20121012  10:03:00",7.23,7.55,7.00,7.55
"20121012  10:04:00",7.40,7.65,7.40,7.65
"20121012  10:05:00",7.65,8.00,7.65,7.95
"20121012  10:06:00",8.00,8.40,7.95,7.95
"20121012  10:07:00",8.30,8.55,8.19,8.20
"20121012  10:08:00",8.20,8.65,8.20,8.65
"20121012  10:09:00",8.50,8.50,8.00,8.25
"20121012  10:10:00",8.65,8.70,8.45,8.45
"20121012  10:11:00",9.00,9.25,8.96,9.25
"20121012  10:12:00",9.40,9.40,9.25,9.35
"20121012  10:13:00",9.25,9.25,9.25,9.25
"20121012  10:14:00",8.74,8.83,8.20,8.20
"20121012  10:15:00",8.20,8.20,8.20,8.20
"20121012  10:16:00",7.55,7.60,7.00,7.00
"20121012  10:17:00",7.00,7.40,7.00,7.15
"20121012  10:18:00",7.01,7.01,5.85,5.85
"20121012  10:19:00",5.65,6.65,5.65,6.65
"20121012  10:20:00",6.45,6.80,6.45,6.70
"20121012  10:21:00",6.90,6.90,6.80,6.80
"20121012  10:22:00",6.45,6.65,5.90,6.10
"20121012  10:23:00",6.00,6.60,6.00,6.60
"20121012  10:24:00",6.62,6.62,5.70,5.70
"20121012  10:25:00",6.05,6.50,6.00,6.50
"20121012  10:26:00",6.50,6.50,6.50,6.50
"20121012  10:27:00",6.20,6.95,6.20,6.90
"20121012  10:28:00",7.20,7.20,7.00,7.20
"20121012  10:29:00",7.50,7.50,6.85,7.11
"20121012  10:30:00",7.17,7.45,7.17,7.45
"20121012  10:31:00",7.60,7.60,7.00,7.05
"20121012  10:32:00",7.00,7.25,6.85,7.25
"20121012  10:33:00",7.25,7.25,7.25,7.25
"20121012  10:34:00",6.80,7.30,6.80,7.30
"20121012  10:35:00",7.35,7.35,7.00,7.00
"20121012  10:36:00",6.70,6.70,6.43,6.55
"20121012  10:37:00",6.75,6.75,6.10,6.40
"20121012  10:38:00",6.15,6.30,6.00,6.00
"20121012  10:39:00",6.10,6.21,5.80,6.00
"20121012  10:40:00",5.95,5.95,5.70,5.80
"20121012  10:41:00",5.80,5.91,5.80,5.80
"20121012  10:42:00",5.50,5.95,5.50,5.60
"20121012  10:43:00",6.00,6.50,5.98,6.20
"20121012  10:44:00",6.30,6.30,6.00,6.00
"20121012  10:45:00",6.20,6.50,6.20,6.50
"20121012  10:46:00",6.50,6.71,6.25,6.25
"20121012  10:47:00",5.90,6.25,5.70,6.25
"20121012  10:48:00",6.35,6.50,6.35,6.50
"20121012  10:49:00",6.10,6.10,5.85,5.85
"20121012  10:50:00",5.85,6.50,5.85,6.50
"20121012  10:51:00",6.40,6.55,6.30,6.55
"20121012  10:52:00",6.65,7.10,6.65,6.90
"20121012  10:53:00",6.80,7.00,6.80,7.00
"20121012  10:54:00",6.83,6.90,6.72,6.72
"20121012  10:55:00",6.70,6.70,6.35,6.35
"20121012  10:56:00",6.05,6.05,5.90,5.98
"20121012  10:57:00",5.90,5.90,5.35,5.50
"20121012  10:58:00",5.54,6.40,5.45,6.30
"20121012  10:59:00",6.10,6.30,6.10,6.14
"20121012  11:00:00",6.70,6.70,6.70,6.70
"20121012  11:01:00",6.55,6.55,6.55,6.55
"20121012  11:02:00",6.35,6.35,6.33,6.33
"20121012  11:03:00",6.70,6.70,6.55,6.55
"20121012  11:04:00",6.50,6.75,6.50,6.75
"20121012  11:05:00",7.35,7.35,6.60,6.80
"20121012  11:06:00",6.75,6.75,6.75,6.75
"20121012  11:07:00",6.60,6.90,6.40,6.90
"20121012  11:08:00",7.00,7.00,6.70,6.95
"20121012  11:09:00",7.10,7.10,7.10,7.10
"20121012  11:10:00",7.10,8.50,7.10,8.34
"20121012  11:11:00",8.43,8.43,7.90,7.90
"20121012  11:12:00",8.10,8.20,8.00,8.09
"20121012  11:13:00",8.50,9.80,8.50,9.50
"20121012  11:14:00",9.58,10.05,9.58,10.05
"20121012  11:15:00",10.04,10.40,10.04,10.40
"20121012  11:16:00",10.00,10.05,9.35,9.35
"20121012  11:17:00",9.35,9.35,8.75,9.00
"20121012  11:18:00",9.12,9.30,8.68,8.68
"20121012  11:19:00",9.00,9.20,9.00,9.00
"20121012  11:20:00",9.10,9.30,9.10,9.25
"20121012  11:21:00",9.40,9.40,9.05,9.05
"20121012  11:22:00",8.70,8.70,8.70,8.70
"20121012  11:23:00",8.90,8.90,8.45,8.60
"20121012  11:24:00",8.35,8.35,8.35,8.35
"20121012  11:25:00",8.50,8.50,8.50,8.50
"20121012  11:26:00",8.35,8.40,8.35,8.40
"20121012  11:27:00",8.35,8.80,8.35,8.80
"20121012  11:28:00",8.95,8.95,8.70,8.85
"20121012  11:29:00",9.10,9.10,9.10,9.10
"20121012  11:30:00",9.30,9.60,9.30,9.55
"20121012  11:31:00",9.80,10.60,9.80,10.60
"20121012  11:32:00",10.40,10.40,10.00,10.00
"20121012  11:33:00",9.57,9.57,9.40,9.40
"20121012  11:34:00",9.25,9.85,9.25,9.85
"20121012  11:35:00",10.00,10.25,9.95,9.95
"20121012  11:36:00",9.50,9.50,9.26,9.26
"20121012  11:37:00",9.35,9.50,9.35,9.50
"20121012  11:38:00",9.20,9.20,8.90,8.90
"20121012  11:39:00",8.95,8.95,8.75,8.80
"20121012  11:40:00",8.80,8.80,8.80,8.80
"20121012  11:41:00",9.60,9.60,9.60,9.60
"20121012  11:42:00",9.60,9.60,9.60,9.60
"20121012  11:43:00",9.50,9.50,9.50,9.50
"20121012  11:44:00",9.30,9.30,9.30,9.30
"20121012  11:45:00",9.70,9.70,9.40,9.40
"20121012  11:46:00",8.90,8.90,8.90,8.90
"20121012  11:47:00",8.92,9.00,8.80,8.90
"20121012  11:48:00",9.05,9.05,8.95,8.95
"20121012  11:49:00",9.25,9.25,8.90,8.90
"20121012  11:50:00",9.35,9.35,9.35,9.35
"20121012  11:51:00",9.25,9.25,9.25,9.25
"20121012  11:52:00",8.63,8.86,8.15,8.15
"20121012  11:53:00",8.44,8.44,8.00,8.05
"20121012  11:54:00",8.10,8.10,7.70,7.70
"20121012  11:55:00",7.75,7.75,7.59,7.59
"20121012  11:56:00",7.65,7.65,7.48,7.48
"20121012  11:57:00",7.60,7.75,7.60,7.75
"20121012  11:58:00",8.00,8.10,7.95,8.10
"20121012  11:59:00",7.95,8.01,7.95,8.00
"20121012  12:00:00",8.25,8.25,8.20,8.20
"20121012  12:01:00",8.05,8.05,7.95,7.95
"20121012  12:02:00",7.50,7.60,7.50,7.50
"20121012  12:03:00",7.35,7.50,7.30,7.35
"20121012  12:04:00",7.30,7.30,7.30,7.30
"20121012  12:05:00",7.50,7.50,7.50,7.50
"20121012  12:06:00",7.50,7.50,7.50,7.50
"20121012  12:07:00",7.05,7.21,7.05,7.21
"20121012  12:08:00",7.05,7.39,7.05,7.33
"20121012  12:09:00",7.55,7.55,7.40,7.40
"20121012  12:10:00",7.40,7.40,7.40,7.40
"20121012  12:11:00",7.40,7.40,7.40,7.40
"20121012  12:12:00",7.60,7.80,7.60,7.80
