date,open,high,low,close
"20121012  09:30:00",9.75,10.30,9.30,10.20
"20121012  09:31:00",9.90,9.90,8.40,8.40
"20121012  09:32:00",8.57,9.40,8.57,9.40
"20121012  09:33:00",8.98,9.40,8.50,8.50
"20121012  09:34:00",9.15,9.95,9.10,9.95
"20121012  09:35:00",9.95,10.80,9.95,10.80
"20121012  09:36:00",10.55,10.75,10.53,10.75
"20121012  09:37:00",10.45,10.50,10.45,10.50
"20121012  09:38:00",9.60,9.60,9.45,9.45
"20121012  09:39:00",8.80,8.90,7.50,7.80
"20121012  09:40:00",7.80,7.90,7.40,7.50
"20121012  09:41:00",7.30,7.50,7.05,7.05
"20121012  09:42:00",7.05,7.30,7.00,7.00
"20121012  09:43:00",7.00,7.40,7.00,7.33
"20121012  09:44:00",7.60,7.63,7.06,7.06
"20121012  09:45:00",6.80,7.15,6.80,7.15
"20121012  09:46:00",7.50,8.00,7.50,8.00
"20121012  09:47:00",8.10,8.20,8.00,8.20
"20121012  09:48:00",8.50,8.90,8.50,8.75
"20121012  09:49:00",8.44,8.70,8.41,8.70
"20121012  09:50:00",8.50,8.50,8.50,8.50
"20121012  09:51:00",8.70,8.70,8.40,8.40
"20121012  09:52:00",8.12,8.12,7.80,7.80
"20121012  09:53:00",8.17,8.17,8.17,8.17
"20121012  09:54:00",8.00,8.90,8.00,8.90
"20121012  09:55:00",9.00,9.25,8.70,8.95
"20121012  09:56:00",9.15,10.35,9.15,10.05
"20121012  09:57:00",10.10,10.10,9.85,9.90
"20121012  09:58:00",10.50,11.70,10.50,11.70
"20121012  09:59:00",11.59,12.00,11.59,12.00
"20121012  10:00:00",12.50,12.70,11.80,12.20
"20121012  10:01:00",12.60,12.70,12.10,12.10
"20121012  10:02:00",12.70,13.07,12.70,13.07
"20121012  10:03:00",13.30,13.80,13.15,13.65
"20121012  10:04:00",13.30,13.30,13.00,13.10
"20121012  10:05:00",12.85,12.85,12.75,12.75
"20121012  10:06:00",12.85,12.85,12.25,12.50
"20121012  10:07:00",12.55,12.55,12.40,12.45
"20121012  10:08:00",12.60,12.60,11.90,11.90
"20121012  10:09:00",12.50,12.50,12.11,12.11
"20121012  10:10:00",12.10,12.10,11.90,11.90
"20121012  10:11:00",11.97,11.97,10.95,11.05
"20121012  10:12:00",11.30,11.40,11.05,11.05
"20121012  10:13:00",11.40,11.70,11.40,11.70
"20121012  10:14:00",11.80,12.35,11.80,11.98
"20121012  10:15:00",12.40,13.00,12.40,12.90
"20121012  10:16:00",13.15,13.75,12.65,13.75
"20121012  10:17:00",13.30,13.30,13.20,13.20
"20121012  10:18:00",13.95,15.10,13.95,15.05
"20121012  10:19:00",15.16,15.16,14.20,14.20
"20121012  10:20:00",14.39,14.70,13.95,14.13
"20121012  10:21:00",14.10,14.10,14.10,14.10
"20121012  10:22:00",14.55,15.00,14.55,14.95
"20121012  10:23:00",14.75,14.75,14.75,14.75
"20121012  10:24:00",14.95,14.95,14.95,14.95
"20121012  10:25:00",14.65,14.65,14.65,14.65
"20121012  10:26:00",14.60,15.20,14.60,14.65
"20121012  10:27:00",14.11,14.11,13.90,13.90
"20121012  10:28:00",13.60,13.65,13.55,13.55
"20121012  10:29:00",13.15,13.50,13.15,13.20
"20121012  10:30:00",13.64,13.64,13.15,13.15
"20121012  10:31:00",13.15,13.15,13.15,13.15
"20121012  10:32:00",13.80,13.80,13.80,13.80
"20121012  10:33:00",13.80,13.80,13.80,13.80
"20121012  10:34:00",13.70,13.80,13.60,13.70
"20121012  10:35:00",13.30,13.70,13.30,13.70
"20121012  10:36:00",13.70,13.70,13.70,13.70
"20121012  10:37:00",14.55,14.55,14.55,14.55
"20121012  10:38:00",15.00,15.00,15.00,15.00
"20121012  10:39:00",14.70,15.00,14.70,15.00
