date,open,high,low,close
"20121012  09:30:00",1.53,1.88,1.25,1.52
"20121012  09:31:00",1.52,2.52,1.52,2.30
"20121012  09:32:00",2.26,2.36,2.00,2.10
"20121012  09:33:00",2.10,2.53,2.05,2.41
"20121012  09:34:00",2.41,2.45,1.90,1.90
"20121012  09:35:00",1.87,1.95,1.50,1.65
"20121012  09:36:00",1.76,1.76,1.56,1.68
"20121012  09:37:00",1.66,1.93,1.55,1.80
"20121012  09:38:00",1.89,1.92,1.80,1.90
"20121012  09:39:00",1.90,2.75,1.90,2.55
"20121012  09:40:00",2.48,2.80,2.46,2.68
"20121012  09:41:00",2.68,3.10,2.49,3.06
"20121012  09:42:00",3.08,3.10,2.80,2.95
"20121012  09:43:00",2.93,3.15,2.75,2.80
"20121012  09:44:00",2.80,3.00,2.62,3.00
"20121012  09:45:00",3.00,3.11,2.77,2.94
"20121012  09:46:00",2.92,2.92,2.36,2.36
"20121012  09:47:00",2.34,2.34,2.00,2.00
"20121012  09:48:00",2.05,2.05,1.70,1.79
"20121012  09:49:00",1.84,1.97,1.82,1.86
"20121012  09:50:00",1.85,2.06,1.79,1.88
"20121012  09:51:00",1.87,2.06,1.85,1.91
"20121012  09:52:00",1.90,2.22,1.87,2.10
"20121012  09:53:00",2.18,2.18,1.95,2.02
"20121012  09:54:00",2.02,2.14,1.72,1.72
"20121012  09:55:00",1.69,1.77,1.51,1.77
"20121012  09:56:00",1.60,1.60,1.18,1.24
"20121012  09:57:00",1.25,1.39,1.21,1.35
"20121012  09:58:00",1.39,1.41,0.86,0.86
"20121012  09:59:00",0.93,0.93,0.69,0.70
"20121012  10:00:00",0.68,0.80,0.60,0.78
"20121012  10:01:00",0.75,0.80,0.67,0.80
"20121012  10:02:00",0.82,0.85,0.62,0.65
"20121012  10:03:00",0.62,0.65,0.51,0.56
"20121012  10:04:00",0.56,0.65,0.56,0.64
"20121012  10:05:00",0.63,0.70,0.59,0.68
"20121012  10:06:00",0.69,0.80,0.69,0.74
"20121012  10:07:00",0.75,0.85,0.75,0.77
"20121012  10:08:00",0.77,0.84,0.70,0.84
"20121012  10:09:00",0.80,0.80,0.70,0.75
"20121012  10:10:00",0.76,0.79,0.70,0.75
"20121012  10:11:00",0.77,0.94,0.77,0.94
"20121012  10:12:00",0.87,0.90,0.85,0.85
"20121012  10:13:00",0.84,0.84,0.73,0.74
"20121012  10:14:00",0.73,0.78,0.66,0.66
"20121012  10:15:00",0.66,0.66,0.56,0.56
"20121012  10:16:00",0.56,0.60,0.45,0.48
"20121012  10:17:00",0.43,0.57,0.43,0.50
"20121012  10:18:00",0.45,0.53,0.42,0.42
"20121012  10:19:00",0.42,0.55,0.41,0.53
"20121012  10:20:00",0.53,0.61,0.51,0.55
"20121012  10:21:00",0.57,0.60,0.50,0.50
