date,open,high,low,close
"20121012  09:30:00",6.50,7.40,6.50,6.51
"20121012  09:31:00",6.85,8.60,6.85,8.50
"20121012  09:32:00",8.20,8.20,7.35,7.35
"20121012  09:33:00",7.30,8.39,7.25,8.35
"20121012  09:34:00",8.43,8.43,7.15,7.15
"20121012  09:35:00",7.00,7.00,6.05,6.56
"20121012  09:36:00",6.35,7.33,6.10,7.33
"20121012  09:37:00",6.30,7.25,6.19,7.24
"20121012  09:38:00",7.00,7.32,7.00,7.04
"20121012  09:39:00",7.70,9.40,7.67,9.19
"20121012  09:40:00",8.96,9.55,8.80,9.05
"20121012  09:41:00",9.05,10.00,9.05,10.00
"20121012  09:42:00",9.65,9.77,9.45,9.77
"20121012  09:43:00",9.80,10.01,9.25,9.25
"20121012  09:44:00",9.25,9.80,9.05,9.80
"20121012  09:45:00",10.00,10.05,9.45,9.75
"20121012  09:46:00",9.75,9.75,8.70,8.79
"20121012  09:47:00",8.53,8.70,8.00,8.00
"20121012  09:48:00",8.15,8.15,7.60,7.70
"20121012  09:49:00",7.90,7.90,7.75,7.75
"20121012  09:50:00",7.55,7.95,7.55,7.75
"20121012  09:51:00",8.00,8.15,7.72,8.00
"20121012  09:52:00",7.99,8.66,7.98,8.62
"20121012  09:53:00",8.55,8.55,8.15,8.30
"20121012  09:54:00",8.50,8.52,7.65,7.65
"20121012  09:55:00",7.50,7.55,7.00,7.05
"20121012  09:56:00",7.30,7.30,6.05,6.05
"20121012  09:57:00",6.34,6.55,6.34,6.55
"20121012  09:58:00",6.35,6.35,4.88,5.00
"20121012  09:59:00",5.00,5.00,4.60,4.60
"20121012  10:00:00",4.65,4.75,4.10,4.55
"20121012  10:01:00",4.65,4.71,4.18,4.71
"20121012  10:02:00",4.79,4.79,3.95,4.06
"20121012  10:03:00",4.00,4.00,3.48,3.65
"20121012  10:04:00",4.00,4.00,3.85,4.00
"20121012  10:05:00",3.90,4.25,3.85,4.05
"20121012  10:06:00",4.30,4.55,4.25,4.40
"20121012  10:07:00",4.40,4.50,4.05,4.25
"20121012  10:08:00",4.26,4.80,4.25,4.80
"20121012  10:09:00",4.65,4.65,4.25,4.25
"20121012  10:10:00",4.60,4.64,4.55,4.60
"20121012  10:11:00",4.60,5.30,4.60,5.30
"20121012  10:12:00",5.20,5.25,5.05,5.10
"20121012  10:13:00",5.00,5.10,4.80,4.80
"20121012  10:14:00",4.66,4.85,4.40,4.40
"20121012  10:15:00",4.40,4.50,4.00,4.00
"20121012  10:16:00",3.90,3.95,3.40,3.40
"20121012  10:17:00",3.43,3.60,3.30,3.50
"20121012  10:18:00",3.43,3.43,2.59,2.60
"20121012  10:19:00",2.63,3.25,2.58,3.25
"20121012  10:20:00",3.05,3.45,3.00,3.35
"20121012  10:21:00",3.45,3.60,3.22,3.30
"20121012  10:22:00",3.25,3.25,2.72,2.73
"20121012  10:23:00",2.83,3.20,2.73,3.20
"20121012  10:24:00",3.30,3.30,2.50,2.66
"20121012  10:25:00",2.67,3.25,2.61,3.18
"20121012  10:26:00",3.10,3.20,2.65,3.00
"20121012  10:27:00",3.00,3.50,2.92,3.50
"20121012  10:28:00",3.50,3.70,3.30,3.70
"20121012  10:29:00",3.70,3.95,3.70,3.70
"20121012  10:30:00",3.60,3.85,3.60,3.80
"20121012  10:31:00",3.70,3.70,3.10,3.50
"20121012  10:32:00",3.50,3.55,3.30,3.55
"20121012  10:33:00",3.50,3.55,3.35,3.40
"20121012  10:34:00",3.25,3.60,3.15,3.55
"20121012  10:35:00",3.60,3.60,3.30,3.30
"20121012  10:36:00",3.20,3.20,2.98,3.15
"20121012  10:37:00",3.05,3.25,2.95,2.95
"20121012  10:38:00",2.99,3.00,2.73,2.85
"20121012  10:39:00",2.77,2.77,2.70,2.70
"20121012  10:40:00",2.60,2.78,2.50,2.50
"20121012  10:41:00",2.75,2.84,2.50,2.50
"20121012  10:42:00",2.39,2.67,2.27,2.55
"20121012  10:43:00",2.55,3.00,2.55,2.85
"20121012  10:44:00",2.91,2.91,2.70,2.70
"20121012  10:45:00",2.69,3.20,2.60,3.16
"20121012  10:46:00",3.00,3.15,2.91,2.91
"20121012  10:47:00",2.71,2.95,2.56,2.95
"20121012  10:48:00",3.00,3.00,2.92,2.92
"20121012  10:49:00",2.95,2.97,2.70,2.70
"20121012  10:50:00",2.60,3.15,2.58,3.15
"20121012  10:51:00",3.20,3.20,2.88,2.99
"20121012  10:52:00",3.10,3.50,3.10,3.25
"20121012  10:53:00",3.15,3.40,3.13,3.40
"20121012  10:54:00",3.45,3.45,3.15,3.22
"20121012  10:55:00",3.00,3.05,2.68,2.70
"20121012  10:56:00",2.94,2.94,2.53,2.60
"20121012  10:57:00",2.64,2.64,2.25,2.30
"20121012  10:58:00",2.30,2.72,2.24,2.70
"20121012  10:59:00",2.65,2.75,2.54,2.75
"20121012  11:00:00",2.81,3.00,2.81,2.83
"20121012  11:01:00",2.76,3.00,2.75,2.95
"20121012  11:02:00",2.87,2.93,2.77,2.93
"20121012  11:03:00",3.00,3.10,2.95,3.05
"20121012  11:04:00",2.95,3.35,2.89,3.35
"20121012  11:05:00",3.40,3.50,3.05,3.05
"20121012  11:06:00",3.10,3.23,2.93,2.93
"20121012  11:07:00",2.93,3.20,2.93,3.20
"20121012  11:08:00",3.00,3.15,3.00,3.15
"20121012  11:09:00",3.25,3.25,3.10,3.25
"20121012  11:10:00",3.30,4.40,3.30,4.15
"20121012  11:11:00",4.10,4.30,3.90,4.00
"20121012  11:12:00",4.05,4.10,3.85,3.85
"20121012  11:13:00",4.00,5.10,4.00,5.00
"20121012  11:14:00",5.05,5.55,4.95,5.40
"20121012  11:15:00",5.35,5.70,5.30,5.55
"20121012  11:16:00",5.50,5.50,4.55,5.10
"20121012  11:17:00",5.20,5.33,4.35,4.85
"20121012  11:18:00",4.90,4.90,4.35,4.50
"20121012  11:19:00",4.65,4.85,4.65,4.70
"20121012  11:20:00",4.55,5.04,4.55,5.04
"20121012  11:21:00",5.10,5.25,4.55,4.55
"20121012  11:22:00",4.70,4.70,4.45,4.45
"20121012  11:23:00",4.50,4.60,3.95,4.60
"20121012  11:24:00",4.29,4.29,4.10,4.10
"20121012  11:25:00",4.30,4.30,4.10,4.10
"20121012  11:26:00",4.15,4.15,4.15,4.15
"20121012  11:27:00",4.10,4.45,4.10,4.20
"20121012  11:28:00",4.35,4.55,4.35,4.45
"20121012  11:29:00",4.60,4.60,4.50,4.55
"20121012  11:30:00",4.70,5.20,4.70,5.20
"20121012  11:31:00",5.25,6.00,4.73,5.99
"20121012  11:32:00",5.75,5.85,5.15,5.40
"20121012  11:33:00",5.30,5.30,4.66,4.80
"20121012  11:34:00",4.87,5.61,4.87,5.30
"20121012  11:35:00",5.31,5.60,5.20,5.20
"20121012  11:36:00",5.00,5.00,4.80,4.90
"20121012  11:37:00",4.80,5.00,4.80,4.85
"20121012  11:38:00",4.75,4.75,4.50,4.60
"20121012  11:39:00",4.39,4.50,4.20,4.35
"20121012  11:40:00",4.35,4.43,4.35,4.43
"20121012  11:41:00",4.40,5.00,4.40,4.95
"20121012  11:42:00",5.25,5.28,5.00,5.00
"20121012  11:43:00",5.10,5.10,4.95,5.05
"20121012  11:44:00",4.80,5.00,4.80,4.85
"20121012  11:45:00",5.00,5.20,5.00,5.06
"20121012  11:46:00",4.70,4.70,4.55,4.55
"20121012  11:47:00",4.40,4.60,4.40,4.55
"20121012  11:48:00",4.70,4.70,4.70,4.70
"20121012  11:49:00",4.80,4.80,4.55,4.55
"20121012  11:50:00",4.70,5.00,4.70,5.00
"20121012  11:51:00",4.80,4.80,4.50,4.76
"20121012  11:52:00",4.40,4.46,4.00,4.00
"20121012  11:53:00",3.85,4.00,3.60,3.76
"20121012  11:54:00",3.85,3.85,3.50,3.80
"20121012  11:55:00",3.60,3.60,3.25,3.45
"20121012  11:56:00",3.47,3.60,3.24,3.24
"20121012  11:57:00",3.35,3.55,3.35,3.50
"20121012  11:58:00",3.65,3.90,3.65,3.90
"20121012  11:59:00",3.90,3.90,3.60,3.76
"20121012  12:00:00",4.00,4.04,3.85,3.85
"20121012  12:01:00",3.70,3.75,3.59,3.60
"20121012  12:02:00",3.60,3.60,3.40,3.40
"20121012  12:03:00",3.35,3.40,3.10,3.10
"20121012  12:04:00",3.05,3.36,3.05,3.36
"20121012  12:05:00",3.50,3.50,3.40,3.43
"20121012  12:06:00",3.42,3.45,3.35,3.45
"20121012  12:07:00",3.39,3.39,3.10,3.10
"20121012  12:08:00",3.10,3.30,3.00,3.25
"20121012  12:09:00",3.40,3.45,3.35,3.45
"20121012  12:10:00",3.50,3.50,3.30,3.40
"20121012  12:11:00",3.20,3.20,3.10,3.10
"20121012  12:12:00",3.47,3.75,3.30,3.50
"20121012  12:13:00",3.35,3.35,3.20,3.26
"20121012  12:14:00",3.45,3.50,3.45,3.50
"20121012  12:15:00",3.60,3.85,3.60,3.65
"20121012  12:16:00",3.65,3.75,3.65,3.75
"20121012  12:17:00",3.85,4.25,3.85,4.20
"20121012  12:18:00",4.25,4.25,3.85,3.90
"20121012  12:19:00",4.00,4.15,3.96,4.15
"20121012  12:20:00",4.20,4.20,3.80,3.85
"20121012  12:21:00",3.80,3.82,3.75,3.77
"20121012  12:22:00",3.77,3.90,3.70,3.90
"20121012  12:23:00",3.90,3.90,3.90,3.90
"20121012  12:24:00",4.15,4.20,4.02,4.20
"20121012  12:25:00",4.05,4.15,4.05,4.15
"20121012  12:26:00",4.20,4.41,4.20,4.30
"20121012  12:27:00",4.30,4.40,4.20,4.20
"20121012  12:28:00",4.35,4.45,4.30,4.45
"20121012  12:29:00",4.25,4.25,4.25,4.25
