date,open,high,low,close
"20121012  09:30:00",7.50,8.80,7.50,8.80
"20121012  09:31:00",8.80,8.80,8.80,8.80
"20121012  09:32:00",8.80,8.80,8.80,8.80
"20121012  09:33:00",6.50,7.00,6.50,7.00
"20121012  09:34:00",7.00,7.00,6.50,6.50
"20121012  09:35:00",6.50,6.50,6.50,6.50
"20121012  09:36:00",7.20,7.90,7.20,7.90
"20121012  09:37:00",7.90,7.90,7.90,7.90
"20121012  09:38:00",7.90,7.90,7.90,7.90
"20121012  09:39:00",7.90,7.90,7.90,7.90
"20121012  09:40:00",7.40,7.40,7.40,7.40
"20121012  09:41:00",6.80,6.80,6.00,6.00
"20121012  09:42:00",5.30,5.30,5.00,5.00
"20121012  09:43:00",5.00,5.00,5.00,5.00
"20121012  09:44:00",5.40,5.40,5.40,5.40
"20121012  09:45:00",6.00,6.00,6.00,6.00
"20121012  09:46:00",6.15,6.15,6.15,6.15
"20121012  09:47:00",6.15,6.15,6.15,6.15
"20121012  09:48:00",7.00,7.10,7.00,7.10
"20121012  09:49:00",7.10,7.10,7.10,7.10
"20121012  09:50:00",7.10,7.10,7.10,7.10
"20121012  09:51:00",6.70,6.70,6.50,6.50
"20121012  09:52:00",6.50,6.50,6.50,6.50
"20121012  09:53:00",6.50,6.50,6.50,6.50
"20121012  09:54:00",6.50,7.70,6.50,7.70
"20121012  09:55:00",7.70,7.70,7.70,7.70
"20121012  09:56:00",7.70,7.70,7.70,7.70
"20121012  09:57:00",7.80,7.80,7.80,7.80
"20121012  09:58:00",7.80,7.80,7.80,7.80
"20121012  09:59:00",8.50,8.50,8.50,8.50
"20121012  10:00:00",9.10,9.10,9.10,9.10
"20121012  10:01:00",9.80,9.90,9.80,9.90
"20121012  10:02:00",9.80,9.80,9.80,9.80
"20121012  10:03:00",9.90,9.90,9.90,9.90
"20121012  10:04:00",9.90,9.90,9.85,9.85
"20121012  10:05:00",9.85,9.85,9.85,9.85
"20121012  10:06:00",9.85,9.85,9.85,9.85
"20121012  10:07:00",9.85,9.85,9.85,9.85
"20121012  10:08:00",9.85,9.85,9.85,9.85
"20121012  10:09:00",9.10,9.10,9.10,9.10
"20121012  10:10:00",9.10,9.10,9.10,9.10
"20121012  10:11:00",8.10,8.30,8.10,8.10
"20121012  10:12:00",8.10,8.10,8.10,8.10
"20121012  10:13:00",8.10,8.10,8.10,8.10
"20121012  10:14:00",8.10,8.10,8.10,8.10
"20121012  10:15:00",8.10,8.10,8.10,8.10
"20121012  10:16:00",8.10,8.10,8.10,8.10
"20121012  10:17:00",8.10,8.10,8.10,8.10
"20121012  10:18:00",8.10,8.10,8.10,8.10
"20121012  10:19:00",7.30,7.30,7.30,7.30
"20121012  10:20:00",7.30,7.30,7.30,7.30
"20121012  10:21:00",7.30,7.30,7.30,7.30
"20121012  10:22:00",7.30,7.30,7.30,7.30
"20121012  10:23:00",7.30,7.30,7.30,7.30
"20121012  10:24:00",6.50,6.50,6.50,6.50
"20121012  10:25:00",6.50,6.50,6.50,6.50
"20121012  10:26:00",6.90,6.90,6.70,6.70
"20121012  10:27:00",6.20,6.20,6.20,6.20
"20121012  10:28:00",6.20,6.20,6.10,6.10
"20121012  10:29:00",5.50,5.50,5.40,5.40
"20121012  10:30:00",5.00,5.00,5.00,5.00
"20121012  10:31:00",4.90,4.90,4.60,4.60
"20121012  10:32:00",4.60,4.60,4.60,4.60
"20121012  10:33:00",4.60,4.60,4.60,4.60
"20121012  10:34:00",6.20,6.20,6.20,6.20
"20121012  10:35:00",5.80,5.80,5.80,5.80
"20121012  10:36:00",5.80,5.90,5.80,5.90
"20121012  10:37:00",6.20,6.50,5.90,6.50
"20121012  10:38:00",6.50,6.50,6.50,6.50
"20121012  10:39:00",6.50,6.50,6.50,6.50
"20121012  10:40:00",6.60,6.60,6.50,6.50
"20121012  10:41:00",6.50,6.50,6.50,6.50
"20121012  10:42:00",6.70,6.70,6.70,6.70
"20121012  10:43:00",6.70,6.70,6.70,6.70
"20121012  10:44:00",6.70,6.70,6.70,6.70
"20121012  10:45:00",6.70,6.70,6.70,6.70
"20121012  10:46:00",6.70,6.70,6.70,6.70
"20121012  10:47:00",6.50,6.50,6.50,6.50
"20121012  10:48:00",6.50,6.50,6.50,6.50
"20121012  10:49:00",6.50,6.50,6.50,6.50
"20121012  10:50:00",6.50,6.50,6.50,6.50
"20121012  10:51:00",5.85,5.85,5.85,5.85
"20121012  10:52:00",5.85,5.85,5.85,5.85
"20121012  10:53:00",5.85,5.85,5.85,5.85
"20121012  10:54:00",5.85,5.85,5.85,5.85
"20121012  10:55:00",5.85,5.85,5.85,5.85
"20121012  10:56:00",5.85,5.85,5.85,5.85
"20121012  10:57:00",5.85,5.85,5.85,5.85
"20121012  10:58:00",6.60,6.60,6.60,6.60
"20121012  10:59:00",5.60,5.60,5.60,5.60
"20121012  11:00:00",5.60,5.60,5.60,5.60
"20121012  11:01:00",6.00,6.00,6.00,6.00
"20121012  11:02:00",6.00,6.00,6.00,6.00
"20121012  11:03:00",6.00,6.00,6.00,6.00
"20121012  11:04:00",5.50,5.50,5.50,5.50
"20121012  11:05:00",5.50,5.50,5.50,5.50
"20121012  11:06:00",5.50,5.50,5.50,5.50
"20121012  11:07:00",5.50,5.50,5.50,5.50
"20121012  11:08:00",5.50,5.50,5.50,5.50
"20121012  11:09:00",6.00,6.00,6.00,6.00
"20121012  11:10:00",5.20,5.20,5.20,5.20
"20121012  11:11:00",5.10,5.10,5.10,5.10
"20121012  11:12:00",5.10,5.10,5.10,5.10
"20121012  11:13:00",5.10,5.10,5.10,5.10
"20121012  11:14:00",5.10,5.10,5.10,5.10
"20121012  11:15:00",4.60,4.60,4.35,4.35
"20121012  11:16:00",4.70,4.70,4.70,4.70
"20121012  11:17:00",4.70,4.70,4.70,4.70
"20121012  11:18:00",4.70,4.70,4.70,4.70
"20121012  11:19:00",5.00,5.00,5.00,5.00
"20121012  11:20:00",5.00,5.00,5.00,5.00
"20121012  11:21:00",5.00,5.00,5.00,5.00
"20121012  11:22:00",5.00,5.00,5.00,5.00
"20121012  11:23:00",5.00,5.00,5.00,5.00
"20121012  11:24:00",5.00,5.00,5.00,5.00
"20121012  11:25:00",5.00,5.00,5.00,5.00
"20121012  11:26:00",5.00,5.00,5.00,5.00
"20121012  11:27:00",5.00,5.00,5.00,5.00
"20121012  11:28:00",5.00,5.00,5.00,5.00
"20121012  11:29:00",4.80,4.95,4.80,4.95
"20121012  11:30:00",4.40,4.40,4.40,4.40
"20121012  11:31:00",4.00,4.00,4.00,4.00
"20121012  11:32:00",3.90,4.00,3.90,4.00
"20121012  11:33:00",4.00,4.00,4.00,4.00
"20121012  11:34:00",4.00,4.00,4.00,4.00
"20121012  11:35:00",3.90,3.90,3.90,3.90
"20121012  11:36:00",3.90,3.90,3.90,3.90
"20121012  11:37:00",3.95,3.95,3.95,3.95
"20121012  11:38:00",4.20,4.20,4.20,4.20
"20121012  11:39:00",4.30,4.30,4.30,4.30
"20121012  11:40:00",4.30,4.30,4.30,4.30
"20121012  11:41:00",4.10,4.10,4.10,4.10
"20121012  11:42:00",4.10,4.10,4.10,4.10
"20121012  11:43:00",4.10,4.10,4.10,4.10
"20121012  11:44:00",4.55,4.55,4.30,4.30
"20121012  11:45:00",4.30,4.30,4.30,4.30
"20121012  11:46:00",4.90,4.90,4.90,4.90
"20121012  11:47:00",4.90,4.90,4.90,4.90
"20121012  11:48:00",4.90,4.90,4.90,4.90
"20121012  11:49:00",4.50,4.50,4.50,4.50
"20121012  11:50:00",4.50,4.50,4.50,4.50
"20121012  11:51:00",4.50,4.50,4.50,4.50
"20121012  11:52:00",4.50,4.50,4.50,4.50
"20121012  11:53:00",4.50,4.50,4.50,4.50
"20121012  11:54:00",4.90,4.90,4.90,4.90
"20121012  11:55:00",4.80,4.80,4.80,4.80
"20121012  11:56:00",5.00,5.00,5.00,5.00
"20121012  11:57:00",5.00,5.00,5.00,5.00
"20121012  11:58:00",5.00,5.00,5.00,5.00
"20121012  11:59:00",5.00,5.00,5.00,5.00
"20121012  12:00:00",5.00,5.00,5.00,5.00
"20121012  12:01:00",5.40,5.40,5.40,5.40
"20121012  12:02:00",5.40,5.40,5.40,5.40
"20121012  12:03:00",5.40,5.40,5.40,5.40
"20121012  12:04:00",5.40,5.40,5.40,5.40
"20121012  12:05:00",5.40,5.40,5.40,5.40
"20121012  12:06:00",5.40,5.40,5.40,5.40
"20121012  12:07:00",5.60,5.70,5.60,5.70
"20121012  12:08:00",5.90,6.00,5.80,5.80
"20121012  12:09:00",5.80,5.80,5.80,5.80
"20121012  12:10:00",5.80,5.80,5.80,5.80
"20121012  12:11:00",5.80,5.80,5.80,5.80
"20121012  12:12:00",5.40,5.40,5.40,5.40
"20121012  12:13:00",5.40,5.40,5.40,5.40
"20121012  12:14:00",5.40,5.40,5.40,5.40
"20121012  12:15:00",5.40,5.40,5.40,5.40
"20121012  12:16:00",5.40,5.40,5.40,5.40
"20121012  12:17:00",4.50,4.50,4.50,4.50
"20121012  12:18:00",4.30,4.30,3.90,3.90
"20121012  12:19:00",3.90,3.90,3.90,3.90
"20121012  12:20:00",3.90,3.90,3.90,3.90
"20121012  12:21:00",3.90,3.90,3.90,3.90
"20121012  12:22:00",4.00,4.00,4.00,4.00
"20121012  12:23:00",4.00,4.00,4.00,4.00
"20121012  12:24:00",4.00,4.00,4.00,4.00
"20121012  12:25:00",4.00,4.00,4.00,4.00
"20121012  12:26:00",4.00,4.00,4.00,4.00
"20121012  12:27:00",4.00,4.00,4.00,4.00
"20121012  12:28:00",4.00,4.00,4.00,4.00
"20121012  12:29:00",4.00,4.00,4.00,4.00
"20121012  12:30:00",4.00,4.00,4.00,4.00
"20121012  12:31:00",4.30,4.30,4.30,4.30
"20121012  12:32:00",4.30,4.30,4.30,4.30
"20121012  12:33:00",4.30,4.30,4.30,4.30
"20121012  12:34:00",4.30,4.30,4.30,4.30
"20121012  12:35:00",4.30,4.30,4.30,4.30
"20121012  12:36:00",4.30,4.30,4.30,4.30
"20121012  12:37:00",4.20,4.20,4.10,4.10
"20121012  12:38:00",4.10,4.10,4.10,4.10
"20121012  12:39:00",4.10,4.10,4.10,4.10
"20121012  12:40:00",4.10,4.10,4.10,4.10
"20121012  12:41:00",4.10,4.10,4.10,4.10
"20121012  12:42:00",4.10,4.10,4.10,4.10
"20121012  12:43:00",4.10,4.10,4.10,4.10
"20121012  12:44:00",4.10,4.10,4.10,4.10
"20121012  12:45:00",4.10,4.10,4.10,4.10
"20121012  12:46:00",4.10,4.10,4.10,4.10
"20121012  12:47:00",4.10,4.10,4.10,4.10
"20121012  12:48:00",4.10,4.10,4.10,4.10
"20121012  12:49:00",4.10,4.10,4.10,4.10
"20121012  12:50:00",4.10,4.10,4.10,4.10
"20121012  12:51:00",4.10,4.10,4.10,4.10
"20121012  12:52:00",4.10,4.10,4.10,4.10
"20121012  12:53:00",4.20,4.20,4.20,4.20
"20121012  12:54:00",4.20,4.20,4.20,4.20
"20121012  12:55:00",4.20,4.20,4.20,4.20
"20121012  12:56:00",4.50,4.50,4.50,4.50
"20121012  12:57:00",4.50,4.50,4.50,4.50
"20121012  12:58:00",4.90,4.90,4.90,4.90
"20121012  12:59:00",4.45,4.45,4.45,4.45
"20121012  13:00:00",4.45,4.45,4.45,4.45
"20121012  13:01:00",4.45,4.45,4.45,4.45
"20121012  13:02:00",4.50,4.50,4.50,4.50
"20121012  13:03:00",4.50,4.50,4.50,4.50
"20121012  13:04:00",4.50,4.50,4.50,4.50
"20121012  13:05:00",4.50,4.50,4.50,4.50
"20121012  13:06:00",4.45,4.50,4.45,4.50
"20121012  13:07:00",4.50,4.50,4.50,4.50
"20121012  13:08:00",4.30,4.30,4.25,4.25
"20121012  13:09:00",4.50,4.50,4.50,4.50
"20121012  13:10:00",4.20,4.20,4.20,4.20
"20121012  13:11:00",4.20,4.20,4.20,4.20
"20121012  13:12:00",4.20,4.20,4.20,4.20
"20121012  13:13:00",4.20,4.20,4.20,4.20
"20121012  13:14:00",4.20,4.20,4.20,4.20
"20121012  13:15:00",4.20,4.20,4.20,4.20
"20121012  13:16:00",4.20,4.20,4.20,4.20
"20121012  13:17:00",4.20,4.20,4.20,4.20
"20121012  13:18:00",4.30,4.30,4.30,4.30
"20121012  13:19:00",4.70,4.70,4.70,4.70
"20121012  13:20:00",4.70,4.70,4.70,4.70
"20121012  13:21:00",4.70,4.70,4.70,4.70
"20121012  13:22:00",4.70,4.70,4.70,4.70
"20121012  13:23:00",4.00,4.00,4.00,4.00
"20121012  13:24:00",4.00,4.00,4.00,4.00
"20121012  13:25:00",3.90,3.90,3.90,3.90
"20121012  13:26:00",3.90,3.90,3.90,3.90
"20121012  13:27:00",3.80,3.80,3.80,3.80
"20121012  13:28:00",3.80,3.80,3.80,3.80
"20121012  13:29:00",3.80,3.80,3.80,3.80
"20121012  13:30:00",3.80,3.80,3.80,3.80
"20121012  13:31:00",3.80,3.80,3.80,3.80
"20121012  13:32:00",3.80,3.80,3.80,3.80
"20121012  13:33:00",3.80,3.80,3.80,3.80
"20121012  13:34:00",3.80,3.80,3.80,3.80
"20121012  13:35:00",3.80,3.80,3.80,3.80
"20121012  13:36:00",3.80,3.80,3.80,3.80
"20121012  13:37:00",4.00,4.00,4.00,4.00
"20121012  13:38:00",4.00,4.00,4.00,4.00
"20121012  13:39:00",3.70,4.50,3.70,4.30
"20121012  13:40:00",4.30,4.30,4.30,4.30
"20121012  13:41:00",4.30,4.30,4.30,4.30
"20121012  13:42:00",4.10,4.10,4.10,4.10
"20121012  13:43:00",4.05,4.05,4.05,4.05
"20121012  13:44:00",4.05,4.05,4.05,4.05
"20121012  13:45:00",4.05,4.05,4.05,4.05
"20121012  13:46:00",4.05,4.05,4.05,4.05
"20121012  13:47:00",4.05,4.05,4.05,4.05
"20121012  13:48:00",4.05,4.05,4.05,4.05
"20121012  13:49:00",4.05,4.05,4.05,4.05
"20121012  13:50:00",4.05,4.05,4.05,4.05
"20121012  13:51:00",4.55,4.55,4.55,4.55
"20121012  13:52:00",4.55,4.55,4.55,4.55
"20121012  13:53:00",4.55,4.55,4.55,4.55
"20121012  13:54:00",4.55,4.55,4.55,4.55
"20121012  13:55:00",4.70,4.70,4.70,4.70
"20121012  13:56:00",4.70,4.70,4.70,4.70
"20121012  13:57:00",5.10,5.10,5.10,5.10
"20121012  13:58:00",5.30,5.30,5.25,5.25
"20121012  13:59:00",5.25,5.25,5.25,5.25
"20121012  14:00:00",5.25,5.25,5.25,5.25
"20121012  14:01:00",5.25,5.25,5.25,5.25
"20121012  14:02:00",5.25,5.25,5.25,5.25
"20121012  14:03:00",5.25,5.25,5.25,5.25
"20121012  14:04:00",5.25,5.25,5.25,5.25
"20121012  14:05:00",5.25,5.25,5.25,5.25
"20121012  14:06:00",4.70,4.70,4.70,4.70
"20121012  14:07:00",4.50,4.50,4.50,4.50
"20121012  14:08:00",4.50,4.50,4.50,4.50
"20121012  14:09:00",4.50,4.50,4.50,4.50
"20121012  14:10:00",4.50,4.50,4.50,4.50
"20121012  14:11:00",4.50,4.50,4.50,4.50
"20121012  14:12:00",4.50,4.50,4.50,4.50
"20121012  14:13:00",4.50,4.50,4.50,4.50
"20121012  14:14:00",4.60,4.60,4.60,4.60
"20121012  14:15:00",4.60,4.60,4.60,4.60
"20121012  14:16:00",4.60,4.60,4.60,4.60
"20121012  14:17:00",4.60,4.60,4.60,4.60
"20121012  14:18:00",4.60,4.60,4.60,4.60
"20121012  14:19:00",4.60,4.60,4.60,4.60
"20121012  14:20:00",5.00,5.00,5.00,5.00
"20121012  14:21:00",5.00,5.00,5.00,5.00
"20121012  14:22:00",5.00,5.00,5.00,5.00
"20121012  14:23:00",5.30,5.30,5.30,5.30
"20121012  14:24:00",5.30,5.30,5.30,5.30
"20121012  14:25:00",5.30,5.30,5.30,5.30
"20121012  14:26:00",5.30,5.30,5.30,5.30
"20121012  14:27:00",5.30,5.30,5.30,5.30
"20121012  14:28:00",5.30,5.30,5.30,5.30
"20121012  14:29:00",5.10,5.10,5.10,5.10
"20121012  14:30:00",5.10,5.10,5.10,5.10
"20121012  14:31:00",5.10,5.10,5.10,5.10
"20121012  14:32:00",5.00,5.00,5.00,5.00
"20121012  14:33:00",5.40,5.40,5.40,5.40
"20121012  14:34:00",5.40,5.40,5.40,5.40
"20121012  14:35:00",6.00,6.00,5.90,5.90
"20121012  14:36:00",5.90,5.90,5.90,5.90
"20121012  14:37:00",6.00,6.00,6.00,6.00
"20121012  14:38:00",5.70,5.70,5.70,5.70
"20121012  14:39:00",5.70,5.70,5.70,5.70
"20121012  14:40:00",5.60,5.60,5.60,5.60
"20121012  14:41:00",5.70,5.70,5.70,5.70
"20121012  14:42:00",5.65,5.65,5.65,5.65
"20121012  14:43:00",5.60,5.60,5.60,5.60
"20121012  14:44:00",5.60,5.60,5.60,5.60
"20121012  14:45:00",5.30,5.35,5.20,5.25
"20121012  14:46:00",5.40,5.40,5.40,5.40
"20121012  14:47:00",5.40,5.40,5.40,5.40
"20121012  14:48:00",5.80,5.80,5.80,5.80
"20121012  14:49:00",6.00,6.00,5.90,5.90
"20121012  14:50:00",5.40,5.40,5.40,5.40
"20121012  14:51:00",5.40,5.40,5.40,5.40
"20121012  14:52:00",5.90,6.30,5.80,6.30
"20121012  14:53:00",5.90,6.00,5.80,6.00
"20121012  14:54:00",6.00,6.00,6.00,6.00
"20121012  14:55:00",6.00,6.00,6.00,6.00
"20121012  14:56:00",6.00,6.00,6.00,6.00
"20121012  14:57:00",6.00,6.00,6.00,6.00
"20121012  14:58:00",5.30,5.30,5.25,5.25
"20121012  14:59:00",5.25,5.25,5.25,5.25
"20121012  15:00:00",5.25,5.25,5.25,5.25
"20121012  15:01:00",5.25,5.25,5.25,5.25
"20121012  15:02:00",5.25,5.25,5.25,5.25
"20121012  15:03:00",4.70,4.70,4.40,4.40
"20121012  15:04:00",4.40,4.40,4.40,4.40
"20121012  15:05:00",4.30,4.50,4.30,4.50
"20121012  15:06:00",4.50,4.50,4.50,4.50
"20121012  15:07:00",3.60,3.60,3.60,3.60
"20121012  15:08:00",5.00,5.00,5.00,5.00
"20121012  15:09:00",4.50,4.50,3.90,4.10
"20121012  15:10:00",4.00,4.00,3.90,3.90
"20121012  15:11:00",3.90,3.90,3.90,3.90
"20121012  15:12:00",3.55,3.55,2.85,2.85
"20121012  15:13:00",2.90,3.10,2.75,3.10
"20121012  15:14:00",2.85,2.85,1.95,2.20
"20121012  15:15:00",2.40,2.40,2.40,2.40
"20121012  15:16:00",2.55,2.55,2.55,2.55
"20121012  15:17:00",3.00,3.00,2.95,2.95
"20121012  15:18:00",3.00,3.70,3.00,3.70
"20121012  15:19:00",3.00,3.00,2.95,2.95
"20121012  15:20:00",2.95,2.95,2.95,2.95
"20121012  15:21:00",2.95,2.95,2.95,2.95
"20121012  15:22:00",2.95,2.95,2.95,2.95
"20121012  15:23:00",2.50,2.55,2.15,2.15
"20121012  15:24:00",2.00,2.00,1.80,2.00
"20121012  15:25:00",2.00,2.20,2.00,2.20
"20121012  15:26:00",2.00,2.00,1.65,1.65
"20121012  15:27:00",1.70,1.80,1.45,1.45
"20121012  15:28:00",1.45,1.45,1.30,1.40
"20121012  15:29:00",1.65,1.65,1.45,1.65
"20121012  15:30:00",1.80,2.00,1.80,2.00
"20121012  15:31:00",1.90,1.90,1.60,1.60
"20121012  15:32:00",1.55,1.55,1.25,1.25
"20121012  15:33:00",1.20,1.30,1.20,1.30
"20121012  15:34:00",1.30,1.30,1.30,1.30
"20121012  15:35:00",1.30,1.30,1.20,1.20
"20121012  15:36:00",1.00,1.00,0.80,0.80
"20121012  15:37:00",0.80,0.80,0.60,0.70
"20121012  15:38:00",0.70,0.70,0.55,0.60
"20121012  15:39:00",0.50,0.60,0.45,0.45
"20121012  15:40:00",0.45,0.50,0.25,0.25
"20121012  15:41:00",0.30,0.40,0.25,0.25
"20121012  15:42:00",0.30,0.35,0.25,0.25
"20121012  15:43:00",0.15,0.30,0.15,0.20
"20121012  15:44:00",0.25,0.55,0.25,0.55
"20121012  15:45:00",0.50,0.75,0.20,0.20
"20121012  15:46:00",0.20,0.50,0.20,0.50
"20121012  15:47:00",0.55,0.55,0.20,0.20
