date,open,high,low,close
"20121012  11:28:00",0.85,0.85,0.69,0.70
"20121012  11:29:00",0.69,0.73,0.66,0.70
"20121012  11:30:00",0.70,0.72,0.58,0.62
"20121012  11:31:00",0.55,0.55,0.40,0.40
"20121012  11:32:00",0.40,0.55,0.40,0.50
"20121012  11:33:00",0.55,0.76,0.54,0.76
"20121012  11:34:00",0.72,0.72,0.55,0.58
"20121012  11:35:00",0.50,0.61,0.50,0.61
"20121012  11:36:00",0.62,0.70,0.61,0.70
"20121012  11:37:00",0.69,0.69,0.63,0.65
"20121012  11:38:00",0.65,0.77,0.62,0.77
"20121012  11:39:00",0.71,0.84,0.71,0.76
"20121012  11:40:00",0.76,0.80,0.74,0.74
"20121012  11:41:00",0.75,0.76,0.63,0.66
"20121012  11:42:00",0.55,0.60,0.51,0.60
"20121012  11:43:00",0.60,0.64,0.59,0.64
"20121012  11:44:00",0.63,0.74,0.63,0.70
"20121012  11:45:00",0.65,0.65,0.59,0.65
"20121012  11:46:00",0.65,0.83,0.65,0.80
"20121012  11:47:00",0.75,0.83,0.75,0.80
"20121012  11:48:00",0.75,0.75,0.72,0.72
"20121012  11:49:00",0.72,0.72,0.72,0.72
"20121012  11:50:00",0.75,0.75,0.64,0.64
"20121012  11:51:00",0.64,0.75,0.64,0.73
"20121012  11:52:00",0.74,0.85,0.74,0.85
"20121012  11:53:00",0.85,1.00,0.85,0.93
"20121012  11:54:00",0.92,1.05,0.90,0.97
"20121012  11:55:00",0.95,1.23,0.95,1.23
"20121012  11:56:00",1.10,1.20,1.03,1.14
"20121012  11:57:00",1.10,1.15,1.02,1.02
"20121012  11:58:00",0.97,1.01,0.85,0.85
"20121012  11:59:00",0.85,0.96,0.85,0.91
"20121012  12:00:00",0.90,0.90,0.80,0.82
"20121012  12:01:00",0.86,1.00,0.85,1.00
"20121012  12:02:00",0.99,1.13,0.99,1.11
"20121012  12:03:00",1.08,1.22,1.08,1.22
"20121012  12:04:00",0.98,1.22,0.98,1.10
"20121012  12:05:00",1.08,1.10,1.00,1.07
"20121012  12:06:00",1.09,1.18,1.09,1.15
"20121012  12:07:00",1.20,1.30,1.14,1.30
"20121012  12:08:00",1.30,1.30,1.19,1.21
"20121012  12:09:00",1.20,1.20,1.11,1.16
"20121012  12:10:00",1.11,1.18,1.06,1.18
"20121012  12:11:00",1.20,1.24,1.14,1.18
"20121012  12:12:00",1.15,1.18,0.99,1.10
"20121012  12:13:00",1.03,1.15,1.02,1.06
"20121012  12:14:00",1.07,1.08,1.00,1.00
"20121012  12:15:00",0.98,0.98,0.83,0.95
"20121012  12:16:00",0.96,0.96,0.96,0.96
"20121012  12:17:00",0.91,0.96,0.65,0.80
"20121012  12:18:00",0.80,0.89,0.74,0.85
"20121012  12:19:00",0.85,0.85,0.80,0.80
"20121012  12:20:00",0.75,0.85,0.75,0.78
"20121012  12:21:00",0.80,0.90,0.78,0.90
"20121012  12:22:00",0.92,0.92,0.79,0.82
"20121012  12:23:00",0.82,0.82,0.82,0.82
"20121012  12:24:00",0.81,0.82,0.77,0.77
"20121012  12:25:00",0.74,0.79,0.72,0.73
"20121012  12:26:00",0.72,0.72,0.65,0.70
"20121012  12:27:00",0.73,0.74,0.70,0.71
"20121012  12:28:00",0.69,0.70,0.68,0.68
"20121012  12:29:00",0.68,0.72,0.63,0.72
"20121012  12:30:00",0.72,0.82,0.72,0.82
"20121012  12:31:00",0.80,0.90,0.78,0.82
"20121012  12:32:00",0.90,0.92,0.86,0.86
"20121012  12:33:00",0.90,0.90,0.81,0.85
"20121012  12:34:00",0.90,0.90,0.82,0.82
"20121012  12:35:00",0.90,1.00,0.88,1.00
"20121012  12:36:00",0.98,1.00,0.83,0.83
"20121012  12:37:00",0.83,0.83,0.75,0.81
"20121012  12:38:00",0.80,0.83,0.73,0.75
"20121012  12:39:00",0.74,0.80,0.73,0.75
"20121012  12:40:00",0.79,0.82,0.70,0.70
"20121012  12:41:00",0.70,0.70,0.68,0.68
