date,open,high,low,close
"20121012  09:30:00",0.70,0.70,0.45,0.50
"20121012  09:31:00",0.65,0.70,0.65,0.65
"20121012  09:32:00",0.75,0.95,0.60,0.75
"20121012  09:33:00",0.80,0.80,0.60,0.70
"20121012  09:34:00",0.80,0.80,0.55,0.55
"20121012  09:35:00",0.60,0.65,0.50,0.50
"20121012  09:36:00",0.50,0.55,0.35,0.40
"20121012  09:37:00",0.35,0.55,0.25,0.35
"20121012  09:38:00",0.40,0.40,0.40,0.40
"20121012  09:39:00",0.40,0.40,0.30,0.30
"20121012  09:40:00",0.35,0.40,0.35,0.40
"20121012  09:41:00",0.40,0.70,0.40,0.65
"20121012  09:42:00",0.70,0.90,0.70,0.80
"20121012  09:43:00",0.85,0.85,0.75,0.80
"20121012  09:44:00",0.85,0.85,0.75,0.80
"20121012  09:45:00",0.85,0.90,0.70,0.75
"20121012  09:46:00",0.70,0.70,0.60,0.60
"20121012  09:47:00",0.50,0.55,0.50,0.55
"20121012  09:48:00",0.50,0.50,0.45,0.45
"20121012  09:49:00",0.50,0.60,0.40,0.60
"20121012  09:50:00",0.55,0.60,0.50,0.50
"20121012  09:51:00",0.55,0.55,0.40,0.40
"20121012  09:52:00",0.50,0.60,0.40,0.50
"20121012  09:53:00",0.60,0.60,0.50,0.50
"20121012  09:54:00",0.45,0.50,0.35,0.40
"20121012  09:55:00",0.50,0.65,0.50,0.65
"20121012  09:56:00",0.60,0.60,0.45,0.45
"20121012  09:57:00",0.45,0.50,0.30,0.40
"20121012  09:58:00",0.40,0.40,0.35,0.35
"20121012  09:59:00",0.30,0.35,0.25,0.25
"20121012  10:00:00",0.25,0.30,0.20,0.25
"20121012  10:01:00",0.20,0.20,0.15,0.15
"20121012  10:02:00",0.20,0.20,0.15,0.20
"20121012  10:03:00",0.20,0.20,0.20,0.20
"20121012  10:04:00",0.20,0.20,0.15,0.20
"20121012  10:05:00",0.20,0.25,0.20,0.20
"20121012  10:06:00",0.25,0.25,0.25,0.25
"20121012  10:07:00",0.25,0.35,0.15,0.25
"20121012  10:08:00",0.30,0.30,0.25,0.25
"20121012  10:09:00",0.25,0.25,0.25,0.25
"20121012  10:10:00",0.25,0.25,0.25,0.25
"20121012  10:11:00",0.25,0.35,0.25,0.35
"20121012  10:12:00",0.35,0.35,0.35,0.35
"20121012  10:13:00",0.35,0.35,0.35,0.35
"20121012  10:14:00",0.35,0.35,0.35,0.35
"20121012  10:15:00",0.35,0.35,0.35,0.35
"20121012  10:16:00",0.30,0.35,0.30,0.35
"20121012  10:17:00",0.40,0.50,0.40,0.50
"20121012  10:18:00",0.50,0.50,0.50,0.50
"20121012  10:19:00",0.50,0.50,0.50,0.50
"20121012  10:20:00",0.90,0.90,0.45,0.45
"20121012  10:21:00",0.45,0.45,0.45,0.45
"20121012  10:22:00",0.40,0.40,0.40,0.40
"20121012  10:23:00",0.50,0.50,0.40,0.40
"20121012  10:24:00",0.40,0.50,0.35,0.35
"20121012  10:25:00",0.50,0.55,0.45,0.55
"20121012  10:26:00",0.45,0.45,0.45,0.45
"20121012  10:27:00",0.50,0.50,0.50,0.50
"20121012  10:28:00",0.50,0.55,0.50,0.50
"20121012  10:29:00",0.50,0.70,0.45,0.55
