date,open,high,low,close
"20121012  09:30:00",0.66,0.74,0.55,0.62
"20121012  09:31:00",0.71,1.06,0.71,1.06
"20121012  09:32:00",1.00,1.01,0.88,0.90
"20121012  09:33:00",0.95,1.06,0.91,1.06
"20121012  09:34:00",1.04,1.13,0.85,0.85
"20121012  09:35:00",0.82,0.82,0.59,0.64
"20121012  09:36:00",0.63,0.69,0.60,0.62
"20121012  09:37:00",0.63,0.82,0.63,0.78
"20121012  09:38:00",0.74,0.81,0.74,0.79
"20121012  09:39:00",0.79,1.11,0.78,1.11
"20121012  09:40:00",1.12,1.21,1.02,1.09
"20121012  09:41:00",1.17,1.36,1.14,1.35
"20121012  09:42:00",1.35,1.35,1.22,1.23
"20121012  09:43:00",1.34,1.37,1.18,1.18
"20121012  09:44:00",1.22,1.32,1.10,1.25
"20121012  09:45:00",1.35,1.35,1.14,1.23
"20121012  09:46:00",1.25,1.31,0.91,1.00
"20121012  09:47:00",1.00,1.00,0.74,0.75
"20121012  09:48:00",0.74,0.76,0.62,0.65
"20121012  09:49:00",0.66,0.69,0.63,0.65
"20121012  09:50:00",0.68,0.73,0.66,0.68
"20121012  09:51:00",0.70,0.77,0.68,0.72
"20121012  09:52:00",0.72,0.84,0.72,0.79
"20121012  09:53:00",0.80,0.80,0.75,0.75
"20121012  09:54:00",0.77,0.78,0.68,0.68
"20121012  09:55:00",0.66,0.69,0.57,0.62
"20121012  09:56:00",0.58,0.60,0.44,0.44
"20121012  09:57:00",0.45,0.49,0.43,0.45
"20121012  09:58:00",0.45,0.45,0.29,0.34
"20121012  09:59:00",0.30,0.34,0.25,0.26
"20121012  10:00:00",0.26,0.29,0.22,0.28
"20121012  10:01:00",0.25,0.33,0.25,0.33
"20121012  10:02:00",0.32,0.33,0.24,0.25
"20121012  10:03:00",0.25,0.27,0.20,0.23
"20121012  10:04:00",0.22,0.27,0.21,0.25
"20121012  10:05:00",0.25,0.29,0.24,0.26
"20121012  10:06:00",0.28,0.33,0.26,0.31
"20121012  10:07:00",0.31,0.34,0.31,0.31
"20121012  10:08:00",0.31,0.33,0.30,0.33
"20121012  10:09:00",0.30,0.32,0.28,0.32
"20121012  10:10:00",0.33,0.33,0.27,0.27
"20121012  10:11:00",0.31,0.33,0.29,0.29
"20121012  10:12:00",0.31,0.32,0.28,0.30
"20121012  10:13:00",0.29,0.29,0.26,0.27
"20121012  10:14:00",0.27,0.28,0.27,0.27
"20121012  10:15:00",0.25,0.26,0.21,0.21
"20121012  10:16:00",0.21,0.24,0.16,0.20
"20121012  10:17:00",0.20,0.26,0.20,0.24
"20121012  10:18:00",0.23,0.23,0.22,0.22
"20121012  10:19:00",0.22,0.25,0.22,0.25
"20121012  10:20:00",0.22,0.24,0.22,0.23
"20121012  10:21:00",0.24,0.24,0.20,0.20
"20121012  10:22:00",0.20,0.20,0.16,0.18
"20121012  10:23:00",0.18,0.23,0.18,0.23
"20121012  10:24:00",0.23,0.23,0.18,0.19
"20121012  10:25:00",0.16,0.22,0.16,0.22
"20121012  10:26:00",0.20,0.20,0.18,0.19
"20121012  10:27:00",0.21,0.22,0.18,0.22
"20121012  10:28:00",0.22,0.22,0.19,0.21
"20121012  10:29:00",0.22,0.23,0.20,0.20
"20121012  10:30:00",0.21,0.21,0.19,0.21
"20121012  10:31:00",0.22,0.22,0.19,0.20
"20121012  10:32:00",0.19,0.21,0.19,0.19
"20121012  10:33:00",0.20,0.21,0.18,0.21
"20121012  10:34:00",0.19,0.21,0.19,0.21
"20121012  10:35:00",0.23,0.23,0.19,0.19
"20121012  10:36:00",0.20,0.22,0.19,0.20
