date,open,high,low,close
"20121012  11:28:00",1.59,1.70,1.55,1.70
"20121012  11:29:00",1.76,1.80,1.68,1.69
"20121012  11:30:00",1.75,2.00,1.75,2.00
"20121012  11:31:00",2.03,2.50,1.84,2.40
"20121012  11:32:00",2.40,2.40,2.09,2.15
"20121012  11:33:00",2.20,2.20,1.75,1.82
"20121012  11:34:00",1.73,2.20,1.73,2.02
"20121012  11:35:00",2.11,2.24,2.10,2.10
"20121012  11:36:00",2.05,2.05,1.83,1.83
"20121012  11:37:00",1.85,2.00,1.82,1.89
"20121012  11:38:00",1.85,1.85,1.65,1.65
"20121012  11:39:00",1.68,1.69,1.59,1.65
"20121012  11:40:00",1.68,1.71,1.61,1.64
"20121012  11:41:00",1.70,2.08,1.70,1.95
"20121012  11:42:00",1.98,2.06,1.95,2.02
"20121012  11:43:00",1.97,1.99,1.89,1.99
"20121012  11:44:00",1.86,1.91,1.74,1.90
"20121012  11:45:00",1.93,2.00,1.87,1.87
"20121012  11:46:00",1.85,1.87,1.67,1.70
"20121012  11:47:00",1.72,1.73,1.63,1.65
"20121012  11:48:00",1.79,1.88,1.72,1.75
"20121012  11:49:00",1.80,1.80,1.67,1.69
"20121012  11:50:00",1.77,1.95,1.77,1.87
"20121012  11:51:00",1.86,1.86,1.66,1.67
"20121012  11:52:00",1.70,1.70,1.40,1.47
"20121012  11:53:00",1.41,1.41,1.24,1.25
"20121012  11:54:00",1.24,1.35,1.18,1.25
"20121012  11:55:00",1.27,1.34,1.08,1.16
"20121012  11:56:00",1.10,1.20,1.02,1.09
"20121012  11:57:00",1.14,1.20,1.10,1.12
"20121012  11:58:00",1.20,1.27,1.14,1.22
"20121012  11:59:00",1.23,1.30,1.19,1.20
"20121012  12:00:00",1.25,1.38,1.25,1.28
"20121012  12:01:00",1.28,1.30,1.09,1.15
"20121012  12:02:00",1.15,1.17,1.08,1.10
"20121012  12:03:00",1.10,1.10,0.99,0.99
"20121012  12:04:00",1.00,1.15,1.00,1.15
"20121012  12:05:00",1.11,1.16,1.09,1.09
"20121012  12:06:00",1.11,1.11,1.08,1.10
"20121012  12:07:00",1.07,1.10,1.00,1.00
"20121012  12:08:00",0.96,1.10,0.95,1.05
"20121012  12:09:00",1.05,1.14,1.05,1.10
"20121012  12:10:00",1.11,1.11,1.02,1.03
"20121012  12:11:00",1.00,1.01,0.99,1.01
"20121012  12:12:00",1.04,1.17,1.03,1.03
"20121012  12:13:00",1.04,1.07,0.99,1.00
"20121012  12:14:00",1.05,1.05,1.03,1.05
"20121012  12:15:00",1.08,1.35,1.05,1.14
"20121012  12:16:00",1.15,1.16,1.10,1.16
"20121012  12:17:00",1.20,1.48,1.18,1.40
"20121012  12:18:00",1.40,1.45,1.28,1.30
"20121012  12:19:00",1.30,1.35,1.25,1.30
"20121012  12:20:00",1.27,1.35,1.20,1.25
"20121012  12:21:00",1.28,1.29,1.15,1.15
"20121012  12:22:00",1.10,1.24,1.08,1.18
"20121012  12:23:00",1.18,1.25,1.18,1.25
"20121012  12:24:00",1.24,1.37,1.24,1.27
"20121012  12:25:00",1.30,1.32,1.29,1.31
"20121012  12:26:00",1.31,1.42,1.30,1.37
"20121012  12:27:00",1.36,1.43,1.33,1.38
"20121012  12:28:00",1.42,1.51,1.36,1.45
"20121012  12:29:00",1.45,1.48,1.33,1.33
"20121012  12:30:00",1.30,1.33,1.20,1.23
"20121012  12:31:00",1.25,1.25,1.07,1.14
"20121012  12:32:00",1.10,1.18,1.09,1.15
"20121012  12:33:00",1.13,1.13,1.11,1.11
"20121012  12:34:00",1.18,1.18,1.11,1.15
"20121012  12:35:00",1.19,1.19,0.95,1.04
"20121012  12:36:00",0.98,1.12,0.96,1.06
"20121012  12:37:00",1.13,1.19,1.10,1.10
